Web Search interest: abdominal pain constipation joint pain muscle pain headache,,,,,
Texas (United States) 2015,,,,,
,,,,,
Interest over time,,,,,
Week,abdominal pain,constipation,joint pain,muscle pain,headache
2015-01-04 - 2015-01-10,26,56,15,16,92
2015-01-11 - 2015-01-17,24,55,15,15,90
2015-01-18 - 2015-01-24,29,55,15,15,89
2015-01-25 - 2015-01-31,26,55,15,15,93
2015-02-01 - 2015-02-07,25,55,14,15,84
2015-02-08 - 2015-02-14,25,47,14,18,92
2015-02-15 - 2015-02-21,27,54,13,16,86
2015-02-22 - 2015-02-28,27,51,15,17,84
2015-03-01 - 2015-03-07,27,54,15,17,88
2015-03-08 - 2015-03-14,27,60,15,16,89
2015-03-15 - 2015-03-21,26,55,15,19,91
2015-03-22 - 2015-03-28,30,57,16,17,91
2015-03-29 - 2015-04-04,24,50,17,17,84
2015-04-05 - 2015-04-11,26,54,17,17,82
2015-04-12 - 2015-04-18,28,51,15,16,84
2015-04-19 - 2015-04-25,28,53,16,14,91
2015-04-26 - 2015-05-02,26,53,15,16,83
2015-05-03 - 2015-05-09,24,49,16,17,81
2015-05-10 - 2015-05-16,25,49,13,16,86
2015-05-17 - 2015-05-23,23,56,16,15,82
2015-05-24 - 2015-05-30,23,56,14,15,81
2015-05-31 - 2015-06-06,20,53,17,16,91
2015-06-07 - 2015-06-13,24,57,14,16,93
2015-06-14 - 2015-06-20,22,54,18,17,94
2015-06-21 - 2015-06-27,24,54,15,17,97
2015-06-28 - 2015-07-04,28,60,15,17,92
2015-07-05 - 2015-07-11,27,59,15,14,99
2015-07-12 - 2015-07-18,27,63,16,16,91
2015-07-19 - 2015-07-25,27,64,17,16,96
2015-07-26 - 2015-08-01,28,59,17,15,93
2015-08-02 - 2015-08-08,29,58,17,16,92
2015-08-09 - 2015-08-15,26,58,17,15,90
2015-08-16 - 2015-08-22,30,58,15,15,90
2015-08-23 - 2015-08-29,27,55,17,15,88
2015-08-30 - 2015-09-05,26,53,16,17,91
2015-09-06 - 2015-09-12,21,53,17,16,90
2015-09-13 - 2015-09-19,25,55,15,16,93
2015-09-20 - 2015-09-26,24,52,15,16,89
2015-09-27 - 2015-10-03,23,52,16,16,87
2015-10-04 - 2015-10-10,27,54,14,15,86
2015-10-11 - 2015-10-17,27,56,13,15,97
2015-10-18 - 2015-10-24,27,54,17,15,91
2015-10-25 - 2015-10-31,27,51,15,17,84
2015-11-01 - 2015-11-07,28,53,16,16,93
