County,Metro
ANDERSON,Tyler-Longview(Lufkin & Nacogdoches) TX
ANDREWS,Odessa-Midland TX
ANGELINA,Tyler-Longview(Lufkin & Nacogdoches) TX
ARANSAS,Corpus Christi TX
ARCHER,Dallas-Ft. Worth TX
ARMSTRONG,Amarillo TX
ATASCOSA,San Antonio TX
AUSTIN,Houston TX
BANDERA,San Antonio TX
BASTROP,Austin TX
BAYTOWN,Houston TX
BEE,Corpus Christi TX
BELL,Waco-Temple-Bryan TX
BEXAR,San Antonio TX
BOSQUE,Waco-Temple-Bryan TX
BRAZORIA,Houston TX
BRAZOS,Waco-Temple-Bryan TX
BREWSTER,El Paso TX
BRISCOE,Amarillo TX
BROWN,Abilene-Sweetwater TX
BURLESON,Austin TX
BURNET,Austin TX
CADDO PARISH,Shreveport LA
CALDWELL,San Antonio TX
CALHOUN,Corpus Christi TX
CALLAHAN,Abilene-Sweetwater TX
CAMERON,Harlingen-Weslaco-Brownsville-McAllen TX
CASS,Tyler-Longview(Lufkin & Nacogdoches) TX
CHAMBERS,Houston TX
CHEROKEE,Tyler-Longview(Lufkin & Nacogdoches) TX
CHILDRESS,Amarillo TX
CLAY,Wichita Falls TX & Lawton OK
COKE,San Angelo TX
COLLIN,Dallas-Ft. Worth TX
COLLINGSWORTH,Amarillo TX
COLORADO,Houston TX
COMAL,San Antonio TX
COMANCHE,San Angelo TX
CONROE,Houston TX
COOKE,Sherman TX-Ada OK
CORYELL,Waco-Temple-Bryan TX
CRANE,Odessa-Midland TX
DALLAS,Dallas-Ft. Worth TX
DAWSON,Odessa-Midland TX
DENTON,Dallas-Ft. Worth TX
DICKENS,Lubbock TX
DIMMIT,Laredo TX
DONLEY,Amarillo TX
DUVAL,Corpus Christi TX
EASTLAND,Abilene-Sweetwater TX
ECTOR,Odessa-Midland TX
EL PASO,El Paso TX
ELLIS,Dallas-Ft. Worth TX
ERATH,Dallas-Ft. Worth TX
FANNIN,Dallas-Ft. Worth TX
FAYETTE,Houston TX
FOARD,Wichita Falls TX & Lawton OK
FORT BEND,Houston TX
FRANKLIN,Dallas-Ft. Worth TX
FREESTONE,Waco-Temple-Bryan TX
FRIENDSWOOD,Houston TX
GAINES,Lubbock TX
GALVESTON,Houston TX
GILLESPIE,San Antonio TX
GONZALES,San Antonio TX
GRAYSON,Sherman TX-Ada OK
GREGG,Tyler-Longview(Lufkin & Nacogdoches) TX
GRIMES,Austin TX
HARDEMAN,Wichita Falls TX & Lawton OK
HARDIN,Beaumont-Port Arthur TX
HARRIS,Houston TX
HARRISON,Tyler-Longview(Lufkin & Nacogdoches) TX
HASKELL,Abilene-Sweetwater TX
HAYS,Austin TX
HENDERSON,Dallas-Ft. Worth TX
HIDALGO,Harlingen-Weslaco-Brownsville-McAllen TX
HILL,Wichita Falls TX & Lawton OK
HOUSTON,Houston TX
HUNT,Dallas-Ft. Worth TX
HUNTSVILLE,Houston TX
JACK,Wichita Falls TX & Lawton OK
JACKSON,Houston TX
JASPER,Beaumont-Port Arthur TX
JEFFERSON,Beaumont-Port Arthur TX
JOHNSON,Dallas-Ft. Worth TX
JONES,Abilene-Sweetwater TX
KARNES,San Antonio TX
KAUFMAN,Dallas-Ft. Worth TX
KENDALL,San Antonio TX
KENT,Lubbock TX
KERR,San Antonio TX
KLEBERG,Corpus Christi TX
KNOX,Wichita Falls TX & Lawton OK
LA PORTE,Houston TX
LA SALLE,San Antonio TX
LAMAR,Sherman TX-Ada OK
LAMPASAS,Waco-Temple-Bryan TX
LEAGUE CITY,Houston TX
LEON,Waco-Temple-Bryan TX
LIBERTY,Houston TX
LIMESTONE,Waco-Temple-Bryan TX
LIVE OAK,Corpus Christi TX
LLANO,San Angelo TX
LUBBOCK,Lubbock TX
LYNN,Lubbock TX
MARION,Shreveport LA
MATAGORDA,Houston TX
MAVERICK,San Antonio TX
MCLENNAN ,Waco-Temple-Bryan TX
MCMULLEN,San Antonio TX
MEDINA,San Antonio TX
MIDLAND,Odessa-Midland TX
MILAM,Waco-Temple-Bryan TX
MISSOURI CITY,Houston TX
MITCHELL,Abilene-Sweetwater TX
MONTAGUE,Wichita Falls TX & Lawton OK
MONTGOMERY,Houston TX
MOORE,Amarillo TX
NACOGDOCHES,Tyler-Longview(Lufkin & Nacogdoches) TX
NEWTON,Beaumont-Port Arthur TX
NUECES,Corpus Christi TX
ORANGE,Houston TX
PALO PINTO,Dallas-Ft. Worth TX
PANOLA,Shreveport LA
PARKER,Dallas-Ft. Worth TX
PASADENA,Houston TX
PEARLAND,Houston TX
POLK,Houston TX
POTTER,Amarillo TX
PRESIDIO,Odessa-Midland TX
RAINS,Dallas-Ft. Worth TX
RANDALL,Amarillo TX
REEVES,El Paso TX
REFUGIO,Corpus Christi TX
ROBERTSON,Waco-Temple-Bryan TX
ROCKWALL,Dallas-Ft. Worth TX
RUNNELS,San Angelo TX
RUSK,Tyler-Longview(Lufkin & Nacogdoches) TX
SAN AUGUSTINE,Tyler-Longview(Lufkin & Nacogdoches) TX
SAN JACINTO,Houston TX
SAN PATRICIO,Corpus Christi TX
SHELBY,Shreveport LA
SMITH,Tyler-Longview(Lufkin & Nacogdoches) TX
SOMERVELL,Dallas-Ft. Worth TX
STARR,Harlingen-Weslaco-Brownsville-McAllen TX
STONEWALL,Abilene-Sweetwater TX
SUGAR LAND,Houston TX
TARRANT,Dallas-Ft. Worth TX
TAYLOR,Abilene-Sweetwater TX
TEXAS CITY,Houston TX
THROCKMORTON,Wichita Falls TX & Lawton OK
TOM GREEN,San Angelo TX
TRAVIS,Austin TX
TRINITY,Houston TX
TYLER,Tyler-Longview(Lufkin & Nacogdoches) TX
UPSHUR,Tyler-Longview(Lufkin & Nacogdoches) TX
UPTON,Odessa-Midland TX
UVALDE,San Antonio TX
VAL VERDE,San Antonio TX
VAN ZANDT,Tyler-Longview(Lufkin & Nacogdoches) TX
VICTORIA ,Victoria TX
WALKER,Houston TX
WALLER,Houston TX
WASHINGTON,Austin TX
WEBB,Laredo TX
WHARTON,Houston TX
WHEELER,Amarillo TX
WICHITA,Wichita Falls TX & Lawton OK
WILLIAMSON,Austin TX
WILSON,Lubbock TX
WISE,Dallas-Ft. Worth TX
WOOD,Tyler-Longview(Lufkin & Nacogdoches) TX
YOUNG,Wichita Falls TX & Lawton OK
